nombre_lugar,tipo_experiencia,rating,direccion,Reviews
Museo de la Ciudad de México,Museo,4.5,"José María Pino Suárez 30, Centro Histórico de la Cdad. de México, Centro, Cuauhtémoc, 06060 Ciudad de México, CDMX, México",5580
Museo Soumaya,Museo,4.7,"Blvd. Miguel de Cervantes Saavedra, Granada, Miguel Hidalgo, 11529 Ciudad de México, CDMX, México",34998
Museo de Arte Popular,Museo,4.7,"Revillagigedo 11, Colonia Centro, Centro, Cuauhtémoc, 06050 Ciudad de México, CDMX, México",7013
Palacio de Bellas Artes,Museo,4.8,"Av. Juárez S/N, Centro Histórico de la Cdad. de México, Centro, Cuauhtémoc, 06050 Ciudad de México, CDMX, México",101956
Museo Franz Mayer,Museo,4.6,"Av. Hidalgo 45, Centro Histórico de la Cdad. de México, Guerrero, Cuauhtémoc, 06300 Ciudad de México, CDMX, México",12001
"Museo Nacional de Historia, Castillo de Chapultepec",Museo,4.6,"Primera Sección del Bosque de Chapultepec S/N, San Miguel Chapultepec I Secc, Miguel Hidalgo, 11580 Ciudad de México, México",657
Museo de Arte Moderno,Museo,4.6,"Av. Paseo de la Reforma s/n, Bosque de Chapultepec I Secc, Miguel Hidalgo, 11100 Ciudad de México, CDMX, México",10919
Museo Frida Kahlo,Museo,4.5,"Londres 247, Del Carmen, Coyoacán, 04100 Ciudad de México, CDMX, México",26617
Museo Dolores Olmedo,Museo,4.7,"Av Mexico 5843, La Noria, Xochimilco, 16030 Ciudad de México, CDMX, México",8205
Museo de la Caricatura,Museo,4.2,"Donceles 99, Centro Histórico de la Cdad. de México, Centro, Cuauhtémoc, 06020 Ciudad de México, CDMX, México",1637
Museo Diego Rivera-Anahuacalli,Museo,4.7,"Museo 150, San Pablo Tepetlapa, Coyoacán, 04620 Ciudad de México, CDMX, México",5120
Museo Memoria y Tolerancia,Museo,4.7,"Av. Juárez 8, Colonia Centro, Centro, Cuauhtémoc, 06010 Ciudad de México, CDMX, México",17940
Museo de Historia Natural,Museo,4.7,"Circuito Correr es Salud, Av. de los Compositores s/n, Bosque de Chapultepec II Secc, Miguel Hidalgo, 11800 CDMX, México",11956
Museo del Estanquillo,Museo,4.6,"Isabel La Católica 26, Centro Histórico de la Cdad. de México, Centro, Cuauhtémoc, 06000 Cuauhtemoc, CDMX, México",8530
Museo Nacional de las Intervenciones,Museo,4.6,"20 de Agosto s/n, San Diego Churubusco, Coyoacán, 04120 Ciudad de México, CDMX, México",7482
Papalote Museo del Niño,Museo,4.5,"Av Constituyentes 268, Bosque de Chapultepec II Secc, Miguel Hidalgo, 11840 Ciudad de México, CDMX, México",18614
Antiguo Colegio de San Ildefonso,Museo,4.7,"Justo Sierra 16, Centro Histórico de la Cdad. de México, Centro, 06020 Ciudad de México, CDMX, México",11546
Museo Universitario Arte Contemporáneo,Museo,4.7,"Insurgentes 3000, C.U., Coyoacán, 04510 Ciudad de México, CDMX, México",11488
Museo del Instituto de Geología de la UNAM,Museo,4.6,"Jaime Torres Bodet 176, Sta María la Ribera, Cuauhtémoc, 06400 Ciudad de México, CDMX, México",5122
Museo del Juguete Antiguo México,Museo,4.2,"Calle Dr Olvera 15, Doctores, Cuauhtémoc, 06720 Ciudad de México, CDMX, México",3289
Museo de Cera,Museo,4.6,"Londres 6, Juárez, Cuauhtémoc, 06600 Ciudad de México, CDMX, México",20792
Museo de Arte Alvar y Carmen T. de Carrillo Gil,Museo,4.5,"Av. Revolución 1608, San Ángel, Álvaro Obregón, 01000 Ciudad de México, CDMX, México",1577
Museo de Arte Popular,Museo,4.7,"Revillagigedo 11, Colonia Centro, Centro, Cuauhtémoc, 06050 Ciudad de México, CDMX, México",7013
Museo Mural Diego Rivera,Museo,4.5,"Balderas S/N, Colonia Centro, Centro, Cuauhtémoc, 06000 Ciudad de México, CDMX, México",3886
Museo Nacional De San Carlos,Museo,4.6,"Av. Puente de Alvarado 50, Tabacalera, Cuauhtémoc, 06030 Ciudad de México, CDMX, México",3410
MODO Museo del Objeto,Museo,4.5,"Colima 145, Roma Nte., Cuauhtémoc, 06700 Ciudad de México, CDMX, México",1663
"Antiguo Palacio de Iturbide, Palacio de Cultura Citibanamex",Museo,4.7,"Av Francisco I. Madero 17, Centro Histórico de la Cdad. de México, Centro, Cuauhtémoc, 06000 Ciudad de México, CDMX, México",9138
Museo Jumex,Museo,4.6,"Blvd. Miguel de Cervantes Saavedra 303, Granada, Miguel Hidalgo, 11520 Ciudad de México, CDMX, México",10606
